user_hash,is_generic_email,account_active,login_count,fail_login_count,days_since_signup,days_since_last_login,signup_hour,signup_day_of_week,signup_month,last_login_hour,last_login_day_of_week,has_first_name,has_last_name,profile_completeness,workspace_count,organization_count,role_count,is_admin,is_guest,has_avatar,mfa_enabled,login_frequency,churned
4f5a20d0b600a364eb2ba867c7f5c8ba,0,1,204,0,1070.04,3.32,13,4,2,14,3,0,0,0,32,1,97,1,0,1,0,0.1906,0
f6471e827afbe3187d3f3dde891e6698,0,1,8,0,870.15,3.34,10,1,8,13,3,1,1,2,1,1,4,1,0,1,0,0.0092,0
1f6561cac0ab9ecea59f0ca932bb9137,0,1,23,0,870.03,3.46,10,1,8,10,3,1,1,2,1,1,5,1,0,1,0,0.0264,0
7245126a6c4806c2762f9c248e54d4d5,0,1,72,0,870.01,3.48,10,1,8,10,3,0,0,0,1,1,4,0,0,1,0,0.0828,0
02b888c6a4b06ec75c9163c08782d01a,0,1,2,0,372.80,3.49,15,1,1,10,3,1,1,2,2,2,9,1,0,1,0,0.0054,0
3a3a552ac3cc5fd34690436e33df85e1,0,1,8,0,869.95,3.55,10,1,8,8,3,1,1,2,1,1,4,1,0,1,0,0.0092,0
936e2e25075ed73acf1ef1f8e1949121,0,1,4,0,869.93,3.56,10,1,8,8,3,1,1,2,1,1,4,1,0,1,0,0.0046,0
be5c439338e881de5b57a01d82ce25bf,0,1,15,0,636.75,3.60,13,3,4,7,3,1,1,2,1,1,3,1,0,1,0,0.0236,0
85122cf9184f046032dd3613499b447f,0,1,23,0,869.54,3.96,10,1,8,23,2,1,1,2,1,1,4,1,0,1,1,0.0265,0
61f4534e6e9d7512b7f4b11ce6f09fcf,0,1,1,0,869.43,4.06,10,1,8,20,2,1,1,2,1,1,4,1,0,1,0,0.0012,0
4f4c2e3b8c31dfd5493bcb442ae767ad,0,1,2,0,88.91,4.16,20,4,10,18,2,1,1,2,2,2,9,1,0,0,0,0.0225,0
7f7260d9c358530ac0e3d2118c5b620e,0,1,9,0,41.06,4.27,14,3,12,15,2,1,1,2,2,2,9,1,0,1,0,0.2192,0
fadc011ab23b72bb086f236e1c0cb0a2,0,1,4,0,869.21,4.29,10,1,8,15,2,1,1,2,1,1,4,1,0,1,0,0.0046,0
3865fec8160a6ca398511ee70d8fa4c9,0,1,13,0,869.18,4.32,10,1,8,14,2,1,1,2,1,1,4,1,0,1,0,0.0150,0
269e878b298f8ed201b2e64c07281c36,0,1,1,0,34.15,4.32,10,3,12,14,2,1,1,2,1,1,4,0,0,1,0,0.0293,0
